00,Yumiton
64,Gigantus
C8,Archfiend
012C,Zigoton Tower (Patapon 1)
01,Tateton
65,Terantus
C9,Archfiend Glow
012D,Ziggertank (Patapon 1/2)
02,Yariton
66,Gigante King
CA,Archfiend (Glitched?)
012E,Ice Cave
03,Kibaton
67,Arch Pandara (Box)
CB,Archfiend Glow (Glitched?)
012F,Karmen Caravan
04,Dekaton
68,??? (Arch Pandara)
CC,Archfiend
0130,Karmen Windmill
05,Megaton
69,??? (Arch Pandara)
CD,Archfiend Glow
0131,Masked Gong (Cutscene)
06,Gong (Latest)
6A,The Other Vessel
CE,Archfiend (Glitched?)
0132,Allied Gong
07,Yumimen
6B,??? (The Other Vessel)
CF,Archfiend Glow (Glitched?)
0133,Underworld Entrance (Cutscene)
08,Tatemen
6C,??? (The Other Vessel)
D0,Archfiend
0134,Mecha Hoshipon
09,Yarimen
6D,Gheek Dongara (Box)
D1,Archfiend Glow
0135,Shakapon
0A,Kibamen
6F,??? (Gheek Dongara)
D2,Archfiend (Glitched?)
0136,Swinging Axe
0B,Dekamen
6F,??? (Gheek Dongara)
D3,Archfiend Glow (Glitched?)
0137,Hero (Cutscene)
0C,Megamen
70,Baros
D4,Archfiend
0138,??? (Cutscene)
0D,Mahomen
71,2nd Head (Baros)
D5,Archfiend Glow
0139,Moon
0E,Robomen
72,3rd Head (Baros)
D6,Archfiend (Glitched?)
013A,Glowing Floor
0F,Akumapon Yumi
73,Garos
D7,Archfiend Glow (Glitched?)
013B,Dark Hideout BG
10,Akumapon Tate
74,2nd Head (Garos)
D8,Archfiend
013C,Dark Hideout BG Pt. 2
11,Akumapon Yari
75,3rd Head (Garos)
D9,Archfiend Glow
013D,Dark Hideout BG Pt. 3
12,Akumapon Kiba
76,Waros
DA,Archfiend (Glitched?)
013E,Dark Hideout Team Totem
13,Kuwagattan 
77,2nd Head (Waros)
DB,Archfiend Glow (Glitched?)
013F,Dark Hideout ??? (Glitched)
14,Akumapon Mega
78,3rd Head (Waros)
DC,Archfiend
0140,Dark Hideout Herogate
15,Yumideth
79,Rocks (Patapon 1/2)
DD,Archfiend Glow
0141,Dark Hideout ???
16,Tatedeth
7A,Tall Rocks (Patapon 1/2)
DE,Stone Patapon
0142,Dark Hideout Battlegate
17,Yarideth
7B,Rubble/Rocks (Patapon 2?)
DF,Stone Meden
0143,Dark Hideout Flagpole
18,Kibadeth
7C,Small Wall (Patapon 2?)
E0,Reviving Stone Patapon
0144,Dark Hideout Blacksmith (Stage 1)
19,Dekadeth
7D,Sandbags (Patapon 2)
E1,Bonedeth Tower
0145,Dark Hideout Blacksmith (Stage 2)
1A,Megadeth
7E,Goal Flag/Finish Line
E2,Wall with Cloth (Bonedeth)
0146,Dark Hideout Blacksmith (Stage 3)
1B,Mahodeth
7F,Injured Patapon
E3,Hatapon's Flag
0147,Dark Hideout Blacksmith (Stage 4)
1C,Robodeth
80,Sunflower
E4,Bonedeth Barracks
0148,Dark Hero Armory
1D,Ravenous
81,Sparkling Sunflower
E5,Opened Box
0149,Dark Hero Barracks
1E,Sonarchy
82,Beehive
E6,Opening Mission Sky
014A,Dark Hoshipon
1F,Ragewolf
83,Sparkling Beehive
E7,Rain (Opening Mission)
014B,Dark Hoshipon (Again)
20,Naughtyfins
84,Song Holder
E8,Pon Drum (Cutscene)
014C,???
21,Slogturtle
85,Swamp/Rain Flower
E9,Pata Drum (Cutscene)
014D,Dark Hideout ??? (Glitched)
22,Covet Hiss
86,Sparking Swamp/Rain Flower
EA,Chaka Drum (Cutscene)
014E,Mecha Hoshipon (Dark Hideout)
23,Buzzcrave
87,Spider
EB,Don Drum (Cutscene)
014F,IDK what this is its in the ground
24,Mochichi
88,Sparkling Spider
EC,Bada Bon Drum (Can be cutscene)
0150,Cage
25,Momochi
89,Catapult
ED,Pata
0151,Living Cage
26,Motsitsi
8A,Glitched Catapult
EE,Pon
0152,???
27,Kacheek
8B,Desert Flower
EF,Chaka
0153,???
28,Kacheek (Sand)
8C,Hoshipon
F0,Don
0154,Yaripon (Cutscene)
29,Kacheek (Swamp)
8D,Talking Sign
F1,Standing Hatapon (Cutscene)
0155,??? (Cutscene) (Glitched)
2A,Kacheek (Stone)
8E,Patapon Struggling (Shookle)
F2,Pata Drum (Small)
0156,??? (Cutscene) (Glitched)
2B,Kacheek (Snow)
8F,WEP Totem
F3,Hatapon's Flag
0157,Standing Hatapon (Cutscene)
2C,Gancheek
90,???
F4,???
0158,Hatapon's Flag
2D,Poocheek
91,???
F5,Magic Circle from obtaining a drum?
0159,Silver Hoshipon (Cutscene)
2E,Parcheek
92,???
F6,Background from obtaining a drum?
015A,Portal (Cutscene)
2F,Picheek
93,???
F7,Background from obtaining a drum?
015B,Gong turns into Ravenous (Cutscene)
30,Babatto
94,???
F8,???
015C,Naughtyfins reverts to Princess (Cutscene)
31,Zubatto
95,???
F9,Standing Yaripon (Cutscene)
015D,This one is in the ground. (Cutscene?)
32,Dobatto
96,???
FA,Ban Tatepon (Cutscene)
015E,Earthend.
33,Rappata
97,???
FB,Don Yumipon (Cutscene)
015F,Past Earthend (???)
34,Pekkora
98,???
FC,Ban/Don Dying
0160,Dark Hideout Operating Table
35,Pekkorako
99,???
FD,Rubble (Vanity)
0161,Evilmass of Adamance Entrance
36,Uji
9A,???
FE,Flash? (Cutscene)
0162,Evilmass of Adamance Entrance
37,Dodonga
9B,???
FF,Something Reviving? (Cutscene)
0163,Evilmass of Adamance Entrance
38,Majidonga
9C,Glitched Blue Texture (???)
0100,Sparkles (Cutscene)
