0,(no translation needed)
1,Pon Drum
2,Pata Drum
3,Chaka Drum
4,Don Drum
5,Rain Miracle
6,Tailwind Miracle
7,Storm Miracle
8,Earthquake Miracle
9,Blank Map
a,Bent Compass
b,Ponpata Song
c,Dusty Crystal
d,Broken Sign
e,Black Star
f,Dark Palace Model
10,Patapata Song
11,Ponpon Song
12,Chakachaka Song
13,Ponchaka Song
14,Cap
15,Pakapon Cap
16,Kimpon Cap
17,Zakpon Cap
18,Kampon Cap
19,Gashapon Cap
1a,Ka-ching
1b,Potion
1c,Leather Meat
1d,Tender Meat
1e,Dream Meat
1f,Mystery Meat
20,Stone
21,Hard Iron
22,Tytanium Ore
23,Mytheerial
24,Leaf
25,Banal Branch
26,Cherry Tree
27,Hinoki
28,Super Cedar
29,Eyeball Cabbage
2a,Crying Carrot
2b,Predator Pumpkin
2c,Hazy Shroom
2d,Sloppy Alloy
2e,Hard Alloy
2f,Awesome Alloy
30,Magic Alloy
31,Gnarly Stew
32,Tasty Stew
33,King's Stew
34,Divine Stew
35,Yaripon's Memory
36,Tatepon's Memory
37,Yumipon's Memory
38,Kibapon's Memory
39,Dekapon's Memory
3a,Megapon's Memory
3b,Head of Dodonga
3c,Head of Majidonga
3d,Head of Zaknel
3e,Head of Dokaknel
3f,Head of Gaeen
40,Head of Dogaeen
41,Ciokina's Pincer
42,Cioking's Pincer
43,Head of Shookle
44,Head of Shooshookle
45,Head of Gorl
46,Head of Motiti
47,Head of Momoti
48,Head of Motsitsi
49,Kacheek
4a,Picheek
4b,Parcheek
4c,Poocheek
4d,Gancheek
4e,Kacheek (sand)
4f,Kacheek (swamp)
50,Kacheek (stone)
51,Wooden Spear
52,Iron Spear
53,Steel Spear
54,Scorching Spear
55,Dokaknel's Fang
56,Ancient Spear
57,Giant Spear "Bullet"
58,Divine Spear<N0>
59,Spear of Protection
5a,(no translation needed)
5b,Tin Axe
5c,Iron Sword
5d,Steel Axe
5e,Sleep Sword
5f,Flame Sword
60,Ancient Axe
61,Giant Sword "The Butcher"
62,Divine Sword<N0>
63,Gong's Scythe
64,Sword of the late Tatepon
65,Wood Shield
66,Iron Shield
67,Steel Shield
68,Ice Shield
69,Ultra Heavy Shield
6a,Ancient Shield
6b,Giant Shield "Octagon"
6c,Divine Shield<N0>
6d,(no translation needed)
6e,(no translation needed)
6f,Wooden Bow
70,Iron Bow
71,Steel Bow
72,Flame Bow
73,Piercing Bow
74,Ancient Bow
75,Giant Bow "Failnaught"
76,Divine Bow<N0>
77,Bow of the late Yumipon
78,(no translation needed)
79,Wooden Halberd
7a,Iron Halberd
7b,Steel Halberd
7c,Deflecting Halberd
7d,Flame Halberd
7e,Ancient Halberd
7f,Giant Halberd "Grizzly"
80,Divine Halberd<N0>
81,(no translation needed)
82,(no translation needed)
83,Horse
84,Fast Horse
85,Tough Horse
86,Strong Horse
87,Crimson Horse
88,Ancient Horse
89,Deep Impact
8a,Divine Horse<N0>
8b,(no translation needed)
8c,(no translation needed)
8d,Club
8e,Iron Hammer
8f,Steel Mace
90,Nail Studded Bat
91,Dream Weaver
92,Ancient Hammer
93,Morning Star "Giganto"
94,Divine Axe<N0>
95,(no translation needed)
96,(no translation needed)
97,Wood Horn
98,Iron Horn
99,Steel Horn
9a,Gaeen's Horn
9b,Ciokin's Horn
9c,Shookle's Horn
9d,Ancient Horn
9e,Divine Horn<N0>
9f,(no translation needed)
a0,(no translation needed)
a1,Wooden Helm
a2,Iron Helm
a3,Steel Helm
a4,Wind Helm
a5,Strength Helm
a6,Ancient Helm
a7,Giant Helm "Turtle"
a8,Divine Helm<N0>
a9,Bunny Head
aa,(no translation needed)
ab,(no translation needed)
ac,(no translation needed)
ad,(no translation needed)
ae,(no translation needed)
af,(no translation needed)
b0,Gong's Helm
b1,(no translation needed)
b2,(no translation needed)
b3,(no translation needed)
b4,(no translation needed)
b5,(no translation needed)
b6,(no translation needed)
b7,(no translation needed)
b8,(no translation needed)
b9,Scorpiton Helm
ba,Spiderton Helm
bb,Beetleton Helm
bc,(delete)
bd,(delete)
be,(delete)
bf,(delete)
c0,(delete)
c1,Meden
