0,(no translation needed) 
1,Pon Drum 
2,Pata Drum 
3,Chaka Drum 
4,Don Drum 
5,Rain Miracle 
6,Tailwind Miracle 
7,Storm Miracle 
8,Earthquake Miracle 
9,The Miracle of the Blizzard 
a,Brimstone Juju 
b,Duck n' Cover Juju 
c,　 
d,Blank Map 
e,Bent Compass 
f,Cloudy Crystal 
10,Broken Sign 
11,Black Star 
12,Mud-stained Map 
13,Soft Lithograph 
14,Unopenable Box 
15,Sealed Scroll 
16,　 
17,Square Wheel 
18,　 
19,Grey Rainbow 
1a,　 
1b,Mater Sprout 
1c,Patapata Song 
1d,Ponpon Song 
1e,Chakachaka Song 
1f,Ponpata Song 
20,Ponchaka Song 
21,DON DON Song 
22,DON CHAKA Song 
23,Yaripon's Memory 
24,Tatepon's Memory 
25,Yumipon's Memory 
26,Kibapon's Memory 
27,Dekapon's Memory 
28,Megapon's Memory 
29,Toripon's Memory 
2a,Robopon's Memory 
2b,Mahopon's Memory 
2c,Cap 
2d,Pakapon Cap 
2e,Kimpon Cap 
2f,Zakpon Cap 
30,Kampon Cap 
31,Gashapon Cap 
32,Yapon Cap 
33,Tsukupon Cap 
34,Ka-ching 
35,Potion 
36,Leather Meat 
37,Tender Meat 
38,Dream Meat 
39,Mystery Meat 
3a,Demon Steak 
3b,Berara Hide 
3c,Gotsutsu Hide 
3d,Subebe Hide 
3e,Mezura Hide 
3f,Demon Hide 
40,Kuneri Fang 
41,Itete Fang 
42,Gizaza Fang 
43,Nazozo Fang 
44,Demon Fang 
45,Mudada Bone 
46,Gashirin Bone 
47,Dodeka Bone 
48,Ottama Bone 
49,Demon Bone 
4a,Stone 
4b,Hard Iron 
4c,Titanium Ore 
4d,Mytheerial 
4e,Adamanman 
4f,Leaf 
50,Banal Branch 
51,Cherry Tree 
52,Hinoki 
53,Super Cedar 
54,Bowtie Tree 
55,Eyeball Cabbage 
56,Crying Carrot 
57,Predator Pumpkin 
58,Hazy Shroom 
59,Guddorian 
5a,Kasu Seed 
5b,Yoka Seed 
5c,Deka Seed 
5d,Bibi Seed 
5e,Mater Sprout 
5f,Sloppy Alloy 
60,Hard Alloy 
61,Awesome Alloy 
62,Magic Alloy 
63,Demon's Ore 
64,Familiar Liquid 
65,Hot Liquid 
66,Cold Liquid 
67,Rainbow Liquid 
68,Demon Liquid 
69,Gnarly Stew 
6a,Tasty Stew 
6b,King's Stew 
6c,Divine Stew 
6d,Demon Stew 
6e,Wooden Spear 
6f,Iron Spear 
70,Steel Spear 
71,Scorching Spear 
72,Dokaknel's Fang 
73,Ancient Spear 
74,Giant Spear "Bullet" 
75,Divine Spear<N0> 
76,Spear of Protection 
77,Ice Spear 
78,Dream Spear 
79,Thunder Spear 
7a,Great Fire Spear 
7b,Great Ice Spear 
7c,Great Thunder Spear 
7d,Heaven Spear 
7e,Magic Spear Brugnuk 
7f,Friendship Spear 
80,　 
81,　 
82,Tin Axe 
83,Iron Sword 
84,Steel Axe 
85,Sleep Sword 
86,Flame Sword 
87,Ancient Axe 
88,Giant Sword "The Butcher" 
89,Divine Sword<N0> 
8a,Gong's Scythe 
8b,Ice Sword 
8c,Thunder Sword 
8d,Great Fire Axe 
8e,Great Ice Axe 
8f,Great Thunder Axe 
90,Heaven Sword 
91,Magic Axe Lapris 
92,Friendship Sword 
93,Great God Armour 
94,　 
95,Sword of the late Tatepon 
96,Wood Shield 
97,Iron Shield 
98,Steel Shield 
99,Ice Shield 
9a,Ultra Heavy Shield 
9b,Ancient Shield 
9c,Giant Shield "Octagon" 
9d,Divine Shield<N0> 
9e,Fire Shield 
9f,Thunder Shield 
a0,Wing Shield 
a1,Flying Shield 
a2,Sun Shield 
a3,Dragon Shield 
a4,Heaven Shield 
a5,Magic Shield Algos 
a6,Friendship Shield 
a7,　 
a8,　 
a9,　 
aa,Wooden Bow 
ab,Iron Bow 
ac,Steel Bow 
ad,Flame Bow 
ae,Piercing Bow 
af,Ancient Bow 
b0,Giant Bow "Failnaught" 
b1,Divine Bow<N0> 
b2,Ice Bow 
b3,Dream Bow 
b4,Thunder Bow 
b5,Great Fire Bow 
b6,Great Ice Bow 
b7,Great Thunder Bow 
b8,Heaven Bow 
b9,Magic Bow Flein 
ba,Friendship Bow 
bb,　 
bc,　 
bd,Bow of the late Yumipon 
be,Wooden Halberd 
bf,Iron Halberd 
c0,Steel Halberd 
c1,Deflecting Halberd 
c2,Flame Halberd 
c3,Ancient Halberd 
c4,Giant Halberd "Grizzly" 
c5,Divine Halberd<N0> 
c6,Ice Lance 
c7,Dream Lance 
c8,Thunder Lance 
c9,Great Fire Lance 
ca,Great Ice Lance 
cb,Great Thunder Lance 
cc,Heaven Lance 
cd,Magic Lance Gugnir 
ce,Friendship Lance 
cf,　 
d0,　 
d1,　 
d2,Horse 
d3,Fast Horse 
d4,Tough Horse 
d5,Strong Horse 
d6,Crimson Horse 
d7,Ancient Horse 
d8,Deep Impact 
d9,Divine Horse<N0> 
da,Blue Horse 
db,Yellow Horse 
dc,Burning Horse 
dd,Lightning Horse 
de,Ice Horse 
df,Dragon Horse 
e0,Heaven Horse 
e1,Magic Horse Sleipnir 
e2,Friendship Horse 
e3,　 
e4,　 
e5,　 
e6,Club 
e7,Iron Hammer 
e8,Steel Mace 
e9,Nail Studded Bat 
ea,Dream Weaver 
eb,Ancient Hammer 
ec,Morning Star "Giganto" 
ed,Divine Axe<N0> 
ee,Fire Club 
ef,Ice Club 
f0,Thunder Club 
f1,Great Fire Club 
f2,Great Ice Club 
f3,Great Thunder Club 
f4,Heaven Club 
f5,Magic Club Thor 
f6,Friendship Club 
f7,　 
f8,　 
f9,　 
fa,Leather Shoulder 
fb,Iron Shoulder 
fc,Steel Shoulder 
fd,Wind Shoulder 
fe,Heavy Shoulder 
ff,Drum Shoulder 
100,Great Shoulder Gigas 
101,Divine Shoulder <N0> 
102,Fire Shoulder 
103,Thunder Shoulder 
104,Snow Shoulder 
105,Flying Shoulder 
106,Sun Shoulder 
107,Dragon Shoulder 
108,Heaven Shoulder 
109,Magic Shoulder Chronos 
10a,Friendship Shoulder 
10b,　 
10c,　 
10d,　 
10e,Wood Horn 
10f,Iron Horn 
110,Steel Horn 
111,Dogaeen's Horn 
112,Cioking's Horn 
113,Shookle's Horn 
114,Ancient Horn 
115,Divine Horn<N0> 
116,Fire Flute 
117,Ice Flute 
118,Thunder Flute 
119,Great Fire Flute 
11a,Great Ice Flute 
11b,Great Thunder Flute 
11c,Heaven Flute 
11d,Magic Flute Hamlin 
11e,Friendship Flute 
11f,　 
120,　 
121,　 
122,Cotton Cape 
123,Leather Cape 
124,Silk Cape 
125,Wind Mantle 
126,Cape of Strength 
127,Wing Cape 
128,Drum Mantle 
129,Mighty Pata Mantle <N0> 
12a,Fire Mantle 
12b,Thunder Mantle 
12c,Snow Mantle 
12d,Flying Mantle 
12e,Sun Mantle 
12f,Dragon Mantle 
130,Heaven Mantle 
131,Magic Clothes Vamp 
132,Friendship Mantle 
133,　 
134,　 
135,　 
136,Wood Javelin 
137,Iron Javelin 
138,Steel Javelin 
139,Fire Javelin 
13a,Piercing Javelin 
13b,Drum Javelin 
13c,Giant Javelin 
13d,Mighty Pata Javelin <N0> 
13e,Ice Javelin 
13f,Dream Javelin 
140,Thunder Javelin 
141,Great Fire Javelin 
142,Great Ice Javelin 
143,Great Thunder Javelin 
144,Heaven Javelin 
145,Magic Javelin Gaebolg 
146,Friendship Javelin 
147,　 
148,　 
149,　 
14a,Bird 
14b,Fast Bird 
14c,Tough Bird 
14d,Strong Bird 
14e,Red Bird 
14f,Drum Bird 
150,Garuda 
151,Mighty Pata Bird <N0> 
152,Blue Bird 
153,Yellow Bird 
154,Flame Bird 
155,Thunderbird 
156,Ice Bird 
157,Dragon Bird 
158,Heaven Bird 
159,Magic Bird Onmoraki 
15a,Friendship Bird 
15b,　 
15c,　 
15d,　 
15e,Brick Arm 
15f,Iron Arm 
160,Steel Arm 
161,Burst Arm 
162,Fire Arm 
163,Drum Arm 
164,Great Golem Arm 
165,Divine Fist <N0> 
166,Ice Arm 
167,Dream Arm 
168,Thunder Arm 
169,Great Fire Arm 
16a,Great Ice Arm 
16b,Great Thunder Arm 
16c,Heaven Arm 
16d,Magic Arm Quill 
16e,Friendship Arm 
16f,　 
170,　 
171,　 
172,(no translation needed) 
173,(no translation needed) 
174,(no translation needed) 
175,(no translation needed) 
176,(no translation needed) 
177,(no translation needed) 
178,(no translation needed) 
179,(no translation needed) 
17a,(no translation needed) 
17b,(no translation needed) 
17c,(no translation needed) 
17d,(no translation needed) 
17e,(no translation needed) 
17f,(no translation needed) 
180,(no translation needed) 
181,(no translation needed) 
182,(no translation needed) 
183,(no translation needed) 
184,(no translation needed) 
185,(no translation needed) 
186,Wood Staff 
187,Iron Staff 
188,Silver Staff 
189,Defense Staff 
18a,Fire Staff 
18b,Soothing Staff 
18c,Drum Staff 
18d,Mighty Pata Staff <N0> 
18e,Ice Staff 
18f,Healing Staff 
190,Thunder Staff 
191,Great Fire Staff 
192,Great Ice Staff 
193,Great Thunder Staff 
194,Heaven Staff 
195,Magic Staff Rune 
196,Friendship Staff 
197,　 
198,　 
199,　 
19a,Wood Shoes 
19b,Leather Sandals 
19c,Glass Shoes 
19d,Wind Shoes 
19e,Boots of Strength 
